,action_id,start,end,TransferData_start,TransferData_end,TrainModel_start,TrainModel_end,TransferModel_start,TransferModel_end,TransferDataRes_bytes_transferred,TransferModelRes_bytes_transferred,total_bytes_transferred,funcx_task_ids,flow_runtime,TransferData_runtime,TrainModel_runtime,TransferModel_runtime,total_funcx_time
47,35533014-49b8-4044-ac9a-8922de6901a6,1647985152.1430578,1647985521.035,1647985152.764,1647985323.7,1647985323.717,1647985515.467,1647985515.4950001,1647985521.035,24160587990,4118484,24164706474,[],368.89194226264954,170.93600010871887,191.75,5.539999961853027,191.75
48,9341b298-fe0d-401c-9c68-04f017165451,1647985523.276628,1647985870.223,1647985523.6169999,1647985658.941,1647985658.9539998,1647985864.772,1647985864.8049998,1647985870.223,24160587990,4118483,24164706473,[],346.9463720321655,135.32400012016296,205.81800031661987,5.418000221252441,205.81800031661987
49,5a16ed7f-939c-42a3-afbe-9dbce3afb91b,1647985875.762634,1647986217.747,1647985876.052,1647986059.727,1647986059.744,1647986212.0259998,1647986212.051,1647986217.747,24160587990,4118483,24164706473,[],341.984365940094,183.67499995231628,152.28199982643127,5.69599986076355,152.28199982643127
50,33576521-88b6-4f2b-82bd-970bf68ff8e0,1647986223.405857,1647986596.951,1647986223.7089999,1647986377.152,1647986377.169,1647986546.9580002,1647986546.987,1647986596.951,24160587990,4118481,24164706471,[],373.5451428890228,153.4430000782013,169.78900027275085,49.96399998664856,169.78900027275085
51,b848b681-6c16-4c78-ac12-1322544ebafc,1647986598.203825,1647986931.8979998,1647986598.648,1647986750.252,1647986750.2659998,1647986926.866,1647986926.8899999,1647986931.8979998,24160587990,4118484,24164706474,[],333.6941747665405,151.60400009155273,176.60000014305115,5.007999897003174,176.60000014305115
52,34a018b4-1382-487e-8cb2-fec7d3658692,1647986937.278146,1647987207.135,1647986937.8620002,1647987045.445,1647987045.46,1647987198.641,1647987198.672,1647987207.135,24160587990,4118483,24164706473,[],269.8568539619446,107.58299970626831,153.18099999427795,8.463000059127808,153.18099999427795
53,6acd25da-441d-487c-b3c0-2bc7ce0e5ef2,1647987209.5958972,1647987515.0809999,1647987209.872,1647987352.57,1647987352.586,1647987506.8860002,1647987506.9190001,1647987515.0809999,24160587990,4118484,24164706474,[],305.4851026535034,142.69799995422363,154.30000019073486,8.161999702453613,154.30000019073486
54,674c68c2-7cdb-4bd4-afd1-1d617c3b463d,1647987516.0630558,1647987855.028,1647987516.5,1647987652.43,1647987652.447,1647987849.2849998,1647987849.315,1647987855.028,24160587990,4118484,24164706474,[],338.9649443626404,135.9300000667572,196.83799982070923,5.713000059127808,196.83799982070923
55,0fec6214-e799-4ccc-8500-eba9331729f1,1647987855.999779,1647988168.0110002,1647987856.29,1647987991.598,1647987991.615,1647988158.515,1647988158.541,1647988168.0110002,24160587990,4118483,24164706473,[],312.0112211704254,135.30800008773804,166.90000009536743,9.470000267028809,166.90000009536743
56,f29fb394-a2ad-4964-954b-932b1f7f2d44,1647988171.4342139,1647988458.5219998,1647988171.684,1647988305.286,1647988305.3009999,1647988452.392,1647988452.4169998,1647988458.5219998,24160587990,4118483,24164706473,[],287.0877859592438,133.60199999809265,147.09100008010864,6.105000019073486,147.09100008010864
