,action_id,start,end,Transfer_start,Transfer_end,PosTransfer_start,PosTransfer_end,Analyze_start,Analyze_end,Transfer2_start,Transfer2_end,Transfer1Result_bytes_transferred,Transfer2Result_bytes_transferred,total_bytes_transferred,funcx_task_ids,flow_runtime,Transfer_runtime,PosTransfer_runtime,Analyze_runtime,Transfer2_runtime,total_funcx_time
38,7f35e6f8-d4d8-4d96-b787-a57e284ccc9f,1644518556.4607518,1644521432.068,1644518556.7619998,1644518561.016,1644518561.0259998,1644518566.572,1644518566.5809999,1644521426.487,1644521426.541,1644521432.068,11225556,97989176,109214732,[],2875.6072483062744,4.254000186920166,5.546000242233276,2859.906000137329,5.527000188827515,2859.906000137329
39,7e6281e1-7db1-4d5b-b126-166fbd44e5bf,1644518564.496258,1644521454.628,1644518564.739,1644518572.129,1644518572.1379998,1644518582.934,1644518582.943,1644521445.636,1644521445.6590002,1644521454.628,11244706,97989192,109233898,[],2890.13174200058,7.389999866485596,10.796000242233276,2862.6929998397827,8.968999862670898,2862.6929998397827
40,46852d70-588d-4f74-a146-5fc67ae11ea7,1644518572.639127,1644521491.573,1644518573.013,1644518581.692,1644518581.703,1644518592.74,1644518592.7489998,1644521474.944,1644521474.9699998,1644521491.573,11229698,97989160,109218858,[],2918.933872938156,8.678999900817871,11.036999940872192,2882.1950001716614,16.603000164031982,2882.1950001716614
41,07a51ae2-b622-42fd-b38e-4e4317489540,1644518585.9489229,1644522080.5059998,1644518586.261,1644518593.23,1644518593.24,1644518600.808,1644518600.817,1644522071.172,1644522071.205,1644522080.5059998,11145189,97929072,109074261,[],3494.5570769309998,6.9690001010894775,7.568000078201294,3470.3550000190735,9.300999879837036,3470.3550000190735
42,580be6a5-14be-4b0c-be36-43d69277ab8f,1644518586.752681,1644522104.099,1644518587.1699998,1644518607.48,1644518607.4889998,1644518611.257,1644518611.267,1644522081.9580002,1644522081.9859998,1644522104.099,11229847,97989152,109218999,[],3517.34631896019,20.31000018119812,3.7680001258850098,3470.69100022316,22.11300015449524,3470.69100022316
43,fea54006-0933-4f7e-9175-f4096ca4c821,1644518595.487534,1644522087.6940002,1644518595.6990001,1644518599.7129998,1644518599.723,1644518603.4819999,1644518603.492,1644522077.6729999,1644522077.711,1644522087.6940002,11233125,97929248,109162373,[],3492.2064661979675,4.013999700546265,3.758999824523926,3474.1809997558594,9.9830002784729,3474.1809997558594
44,b05871c1-449b-4a57-bdef-d98e1e608e80,1644518601.054028,1644522094.537,1644518601.3939998,1644518605.685,1644518605.6940002,1644518610.513,1644518610.523,1644522084.697,1644522084.724,1644522094.537,11183642,97929160,109112802,[],3493.482971906662,4.291000127792358,4.818999767303467,3474.1740000247955,9.812999963760376,3474.1740000247955
45,45afed0a-5b73-4957-b849-7b3df5f02efc,1644518609.2149692,1644522098.88,1644518609.56,1644518614.6569998,1644518614.6940002,1644518618.682,1644518618.6929998,1644522093.499,1644522093.53,1644522098.88,18734473,42149792,60884265,[],3489.6650309562683,5.096999883651733,3.987999677658081,3474.8060002326965,5.3500001430511475,3474.8060002326965
46,68ee85fe-bcef-4859-96a5-c4ca4357f5e9,1644518645.5532138,1644522141.0470002,1644518646.164,1644518652.174,1644518652.1820002,1644518660.346,1644518660.353,1644522135.9180002,1644522135.962,1644522141.0470002,11206096,0,11206096,[],3495.4937863349915,6.009999990463257,8.163999795913696,3475.565000295639,5.085000276565552,3475.565000295639
47,f9e99731-8aea-4956-bc0d-d6da32e35deb,1644518651.756247,1644522137.9329998,1644518652.134,1644518657.9459999,1644518657.9539998,1644518668.275,1644518668.286,1644522133.1299999,1644522133.168,1644522137.9329998,11187154,0,11187154,[],3486.17675280571,5.811999797821045,10.321000337600708,3464.843999862671,4.764999866485596,3464.843999862671
48,fcd0dbcf-03e6-4219-9a43-ae57f37e21ed,1644518657.543485,1644522137.824,1644518657.759,1644518662.797,1644518662.8060002,1644518667.448,1644518667.456,1644522133.2350001,1644522133.262,1644522137.824,11231178,0,11231178,[],3480.2805149555206,5.037999868392944,4.6419997215271,3465.779000043869,4.561999797821045,3465.779000043869
49,21881f7c-6916-43d3-a2e7-79051e74fd3f,1644518665.825648,1644522147.766,1644518666.151,1644518669.985,1644518669.993,1644518676.5900002,1644518676.599,1644522142.766,1644522142.788,1644522147.766,11232330,0,11232330,[],3481.940351963043,3.8339998722076416,6.5970001220703125,3466.167000055313,4.977999925613403,3466.167000055313
50,2311fbac-90cc-4296-b47a-f545773abcc1,1644518673.964266,1644522160.202,1644518674.498,1644518678.191,1644518678.2,1644518686.144,1644518686.1529999,1644522154.966,1644522154.9910002,1644522160.202,18724832,0,18724832,[],3486.2377338409424,3.693000078201294,7.944000005722046,3468.813000202179,5.2109997272491455,3468.813000202179
51,260b9949-ebf8-46b8-aa66-bd11d33848cb,1644518681.3282921,1644522159.446,1644518681.559,1644518687.183,1644518687.191,1644518690.813,1644518690.822,1644522155.109,1644522155.135,1644522159.446,11205722,0,11205722,[],3478.117707967758,5.624000072479248,3.621999979019165,3464.286999940872,4.311000108718872,3464.286999940872
52,723cc9ba-f870-4550-b1ab-cc7567c774ff,1644518689.3822982,1644522208.555,1644518689.996,1644518693.595,1644518693.6060002,1644518735.85,1644518735.86,1644522202.759,1644522202.7910001,1644522208.555,11179359,0,11179359,[],3519.1727018356323,3.5989999771118164,42.24399971961975,3466.8990001678467,5.763999938964844,3466.8990001678467
53,db0ebb04-6387-42ac-82a3-634d6c87721d,1644518694.940883,1644522222.447,1644518695.12,1644518733.8339999,1644518733.8430002,1644518738.936,1644518738.95,1644522218.2289999,1644522218.256,1644522222.447,11229995,0,11229995,[],3527.506117105484,38.71399998664856,5.0929999351501465,3479.2789998054504,4.190999984741211,3479.2789998054504
54,8a066c27-07c3-4c31-b87d-b20a3242cb61,1644518704.561419,1644522200.0809999,1644518704.957,1644518708.982,1644518708.9910002,1644518714.717,1644518714.726,1644522178.8979998,1644522178.921,1644522200.0809999,11235489,0,11235489,[],3495.5195808410645,4.025000095367432,5.72599983215332,3464.171999692917,21.15999984741211,3464.171999692917
